key,name,faction,health,toughness,save,invuln_save,fnp,move,oc,leadership,attacks,hit_probability,strength,ap,weapon_damage_per_shot,range_inches,melee_attacks,melee_hit_probability,melee_strength,melee_ap,melee_damage_per_shot,assault,heavy,pistol,rapid_fire,twin_linked,ignores_cover,torrent,lethal_hits,lance,melta,sustained_hits,devastating_wounds,precision,blast,indirect_fire,hazardous,one_shot,stealth,deep_strike,scout_distance,infiltrators,sticky_objective,lone_operative,fly,deadly_demise,points_cost,anti_keywords,unit_keywords
adepta_sororitas_aestred_thurga_and_agathae_dolan,Aestred Thurga and Agathae Dolan,Adepta Sororitas,4.0,3,2,7,7,6.0,1,6,1,0.667,4,0,1.0,12,4,0.833,5,-2,2.0,False,False,True,0,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,0,False,False,False,False,0,52.5,,CHARACTER|INFANTRY
adepta_sororitas_arco_flagellants,Arco-Flagellants,Adepta Sororitas,2.0,3,7,7,5,6.0,1,8,4,0.5,5,0,1.0,1,4,0.5,5,0,1.0,False,False,False,0,False,False,False,False,False,0,1,False,False,False,False,False,False,False,False,0,False,False,False,False,0,33.8,,INFANTRY
adepta_sororitas_battle_sisters_squad,Battle Sisters Squad,Adepta Sororitas,1.0,3,3,7,7,6.0,2,7,1,0.667,4,0,1.0,12,1,0.5,3,0,1.0,False,False,True,1,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,0,False,False,False,False,0,13.1,,INFANTRY|BATTLELINE
adepta_sororitas_canoness,Canoness,Adepta Sororitas,4.0,3,3,7,4,6.0,1,7,4,1.0,6,-1,2.0,12,4,0.833,6,-2,2.0,False,False,False,0,False,True,True,False,False,0,0,False,False,False,False,False,True,False,False,0,False,False,False,False,0,180.0,,CHARACTER|INFANTRY
adepta_sororitas_canoness_with_jump_pack,Canoness with Jump Pack,Adepta Sororitas,3.0,3,3,7,5,6.0,1,7,4,1.0,4,0,1.0,12,5,0.833,5,-2,2.0,False,False,True,0,False,True,True,False,False,0,0,False,False,False,False,False,False,False,True,0,False,False,False,False,0,56.2,,CHARACTER|INFANTRY
adepta_sororitas_castigator,Castigator,Adepta Sororitas,11.0,10,3,7,7,6.0,3,7,6,0.667,10,-1,3.0,48,3,0.5,6,0,1.0,False,False,False,0,False,True,False,False,False,0,0,False,False,True,False,False,False,False,False,0,False,False,False,False,2,613.3,,VEHICLE
adepta_sororitas_celestian_sacresant_aveline_legends,Celestian Sacresant Aveline [Legends],Adepta Sororitas,4.0,3,3,7,6,6.0,1,7,4,1.0,4,0,1.0,12,4,0.667,5,-2,2.0,False,False,True,0,False,True,True,False,False,0,0,False,False,False,False,False,False,False,False,0,False,False,True,False,0,61.9,,INFANTRY|CHARACTER
adepta_sororitas_celestian_sacresants,Celestian Sacresants,Adepta Sororitas,1.0,3,3,7,7,6.0,1,7,1,0.667,8,-4,2.0,6,3,0.667,5,-2,2.0,False,False,True,0,False,False,False,False,False,2,0,False,False,False,False,False,False,False,False,0,False,False,False,False,0,80.7,,INFANTRY
adepta_sororitas_crusaders_legends,Crusaders [Legends],Adepta Sororitas,2.0,3,3,7,4,6.0,1,7,3,0.667,4,-2,2.0,1,3,0.667,4,-2,2.0,False,False,False,0,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,0,False,False,False,False,0,101.3,,INFANTRY
adepta_sororitas_daemonifuge,Daemonifuge,Adepta Sororitas,5.0,3,3,7,7,6.0,1,7,1,0.667,4,0,1.0,12,4,0.833,6,-2,2.0,False,False,True,0,False,False,False,False,False,0,0,False,True,False,False,False,False,False,True,0,False,False,True,False,0,35.6,,INFANTRY|CHARACTER
adepta_sororitas_death_cult_assassins_legends,Death Cult Assassins [Legends],Adepta Sororitas,1.0,3,5,7,7,6.0,1,7,4,0.833,4,-2,1.0,1,4,0.833,4,-2,1.0,False,False,False,0,False,False,False,False,False,0,0,False,True,False,False,False,False,False,False,0,True,False,True,False,0,77.8,,INFANTRY
adepta_sororitas_dialogus,Dialogus,Adepta Sororitas,3.0,3,3,7,5,6.0,1,6,1,0.667,4,0,1.0,12,3,0.5,4,0,1.0,False,False,True,0,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,0,False,False,False,False,0,24.4,,INFANTRY|CHARACTER
adepta_sororitas_dogmata,Dogmata,Adepta Sororitas,3.0,3,3,7,5,6.0,1,6,1,0.667,4,0,1.0,12,4,0.667,5,-2,2.0,False,False,True,0,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,0,False,False,False,False,0,24.4,,INFANTRY|CHARACTER
adepta_sororitas_dominion_squad,Dominion Squad,Adepta Sororitas,1.0,3,3,7,7,6.0,1,7,1,0.667,5,-1,1.56,12,1,0.5,3,0,1.0,True,False,True,1,False,False,False,False,False,2,0,False,False,False,False,False,False,False,False,6,False,False,False,False,0,29.0,,INFANTRY
adepta_sororitas_exorcist,Exorcist,Adepta Sororitas,11.0,10,3,7,7,6.0,3,7,6,0.667,10,-3,3.5,36,3,0.5,6,0,1.0,False,False,False,0,False,False,False,False,False,0,0,False,False,False,True,False,False,False,False,0,False,False,False,False,2,849.4,,VEHICLE
adepta_sororitas_hospitaller,Hospitaller,Adepta Sororitas,3.0,3,3,7,5,6.0,1,7,1,0.667,4,0,1.0,12,3,0.5,3,0,1.0,False,False,True,0,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,0,False,False,False,False,0,24.4,,INFANTRY|CHARACTER
adepta_sororitas_imagifier,Imagifier,Adepta Sororitas,3.0,3,3,7,5,6.0,1,6,1,0.667,4,0,1.0,12,3,0.5,3,0,1.0,False,False,True,0,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,0,False,False,False,False,0,24.4,,INFANTRY|CHARACTER
adepta_sororitas_immolator,Immolator,Adepta Sororitas,11.0,10,3,7,7,6.0,2,7,2,0.667,9,-4,3.5,18,3,0.5,6,0,1.0,False,False,False,0,True,False,False,False,False,2,0,False,False,False,False,False,False,False,False,0,False,False,False,False,2,510.1,,VEHICLE
adepta_sororitas_junith_eruita,Junith Eruita,Adepta Sororitas,8.0,5,2,7,7,6.0,2,6,4,1.0,6,-1,1.0,12,4,0.833,6,-2,2.0,False,False,False,0,True,True,True,False,False,0,0,False,False,False,False,False,False,False,False,0,False,False,False,True,2,258.8,,CHARACTER|FLY|MOUNTED
adepta_sororitas_ministorum_priest,Ministorum Priest,Adepta Sororitas,3.0,3,6,7,5,6.0,1,7,4,1.0,5,0,1.0,12,3,0.5,5,-1,2.0,False,False,False,0,False,True,True,False,False,0,0,False,False,False,False,False,False,False,False,0,False,False,False,False,0,59.2,,INFANTRY|CHARACTER
adepta_sororitas_mortifiers,Mortifiers,Adepta Sororitas,5.0,6,4,7,5,6.0,2,7,3,0.667,5,-1,2.0,36,4,0.667,10,-3,2.0,False,False,False,0,False,False,False,False,False,0,1,False,False,False,False,False,False,False,False,0,False,False,False,False,1,127.5,,VEHICLE|WALKER
adepta_sororitas_morvenn_vahl,Morvenn Vahl,Adepta Sororitas,8.0,7,2,7,7,6.0,3,6,2,0.833,9,-2,3.5,36,5,0.833,8,-2,3.0,False,False,False,0,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,0,False,False,False,False,1,398.7,,VEHICLE|WALKER|CHARACTER
adepta_sororitas_palatine,Palatine,Adepta Sororitas,4.0,3,3,7,5,6.0,1,7,1,0.833,8,-3,2.0,12,4,0.833,4,-2,2.0,False,False,True,0,False,False,False,False,False,0,0,False,False,False,False,True,False,False,False,0,False,False,False,False,0,100.6,,INFANTRY|CHARACTER
adepta_sororitas_paragon_warsuits,Paragon Warsuits,Adepta Sororitas,4.0,7,2,7,7,6.0,2,7,1,0.667,7,-2,2.17,12,4,0.667,8,-2,2.0,False,False,True,0,True,False,False,False,False,2,0,False,False,False,False,False,False,False,False,0,False,False,False,False,0,147.8,,VEHICLE|WALKER
adepta_sororitas_penitent_engines,Penitent Engines,Adepta Sororitas,5.0,6,4,7,5,6.0,2,7,7,1.0,5,0,1.0,12,4,0.5,10,-3,2.0,True,False,False,0,True,True,True,False,False,0,0,False,False,False,False,False,False,False,False,0,False,False,False,False,1,142.5,,VEHICLE|WALKER
adepta_sororitas_repentia_squad,Repentia Squad,Adepta Sororitas,1.0,3,7,7,5,6.0,1,8,1,0.667,4,0,1.0,12,3,0.556,5,-2,1.67,False,False,True,0,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,0,False,False,False,False,0,9.4,,INFANTRY
adepta_sororitas_repressor_legends,Repressor [Legends],Adepta Sororitas,12.0,10,3,7,7,6.0,2,7,1,0.833,14,-3,3.5,48,3,0.5,6,0,1.0,False,False,False,0,False,False,False,False,False,0,0,False,False,False,False,False,True,False,False,0,False,False,False,False,2,406.7,,VEHICLE
